file_name,Тип документа,Сценарий,Автор (почерк),Отправитель,Получатель,Дата,Место,Тема,Количество полей
01578_L.tif,Рукописное письмо,Безответное почтовое письмо,MOURIER Marina,Maria Mourier,Mairie,10/06/2005,Roussy,,7
01577_L.tif,Рукописное письмо,Трудности с денежным переводом,BIDAULT Nathalie,Madame BIDAULT Nathalie,NAIF Assurances,21/12/2006,,,7
01568_L.tif,Рукописное письмо,Трудности с денежным переводом,AUGUSTIN Mandy,Mandy AUGUSTIN,Monsieur le directeur des services fiscaux,28/12/2006,,Objet : demande de remise gracieuse.,7
01571_L.tif,Рукописное письмо,Изменение персональных данных,COGNARD Marthe,Marthe COGNARD,Caisse d'Allocations Familiales,15/12/2006,,Objet : Nouvelle situation familiale,8
01579_L.tif,Рукописное письмо,Претензия,GAUDRY Franck,Franck GAUDRY,Police Nationale,,,Objet : Nuisances sonores provoqués par le chient de M. Durant,6
01576_L.tif,Рукописное письмо,Запрос информации,JEGOU Lucie,Lucie JEGOU,NINA Assurances,21/12/2006,Thiancourt,Objet : demande de documentation sur les contrats d'assurance vie,7
01574_L.tif,Рукописное письмо,Изменение контракта / заказа,CAMARA Beatrice,Melle Béatrice CAMARA,Les 3 Suifs,26/12/2006,Basse Rentgen,Objet : changement concernant ma dernière commande.,8
01572_L.tif,Рукописное письмо,Изменение персональных данных,LIENARD Rolande,Madame Rolande LIEMARD,Banque Débit Lyonnais,18/12/2006,St Jean Rohrbach,OBJET : Nouvelles coordonnées téléphoniques,8
01564_L.tif,Рукописное письмо,Изменение контракта / заказа,SABIN Laetitia,Melle SABIN Laetitia,,20/12/2006,Richardmenil,,5
01565_L.tif,Рукописное письмо,Претензия,AUBIER Lou,AUBIER LOU,La Redoute,19/12/2006,Buhl,"Objet: ""¤{reclamation/réclamation}¤""",9
01559_L.tif,Рукописное письмо,Изменение контракта / заказа,BOURGES Dominique,BOURGES Dominique,Banque Débit Lyonnais,,,Objet : Commande d'actions boursières,7
01581_L.tif,Рукописное письмо,Запрос информации,MORAND Michele,Moraud Michele,France Telephone,,,Objet : Demande d'information sur ma dernière facture\n(Réf : BSAOP87),6
01580_L.tif,Рукописное письмо,Трудности с денежным переводом,ALVES Marina,ALVES Marina,EDF,26/12/2006,Buschwiller,,6
01591_L.tif,Рукописное письмо,Трудности с денежным переводом,BAUMARD Marie-pierre,BAUMARD Marie-Pierre,Tresorie des impots,,,,5
01590_L.tif,Рукописное письмо,Изменение контракта / заказа,BOSC Lilian,Lilian Bosc,Banque Société Géniale,20/12/2006,Chamery les deux,Objet : Augmentation des quantités\nd'actions commandées,9
