file_name,Корреспондент (Отправитель),Дата письма,Номер письма (Reference),Адресат (Получатель),Подписант (Подпись),Доп. информация
01578_L.tif,Maria Mourier,10/06/2005 (Roussy),01578,Mairie,"[Рукописная подпись, текст не распознан]","Сценарий: Безответное почтовое письмо, Автор: MOURIER Marina"
01577_L.tif,Madame BIDAULT Nathalie,21/12/2006,01577,NAIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: BIDAULT Nathalie"
01568_L.tif,Mandy AUGUSTIN,28/12/2006,01568,Monsieur le directeur des services fiscaux,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: AUGUSTIN Mandy"
01571_L.tif,Marthe COGNARD,15/12/2006,01571,Caisse d'Allocations Familiales,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: COGNARD Marthe"
01579_L.tif,Franck GAUDRY,,01579,Police Nationale,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: GAUDRY Franck"
01576_L.tif,Lucie JEGOU,21/12/2006 (Thiancourt),01576,NINA Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: JEGOU Lucie"
01574_L.tif,Melle Béatrice CAMARA,26/12/2006 (Basse Rentgen),01574,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: CAMARA Beatrice"
01572_L.tif,Madame Rolande LIEMARD,18/12/2006 (St Jean Rohrbach),01572,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение персональных данных, Автор: LIENARD Rolande"
01564_L.tif,Melle SABIN Laetitia,20/12/2006 (Richardmenil),01564,,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: SABIN Laetitia"
01565_L.tif,AUBIER LOU,19/12/2006 (Buhl),01565,La Redoute,"[Рукописная подпись, текст не распознан]","Сценарий: Претензия, Автор: AUBIER Lou"
01559_L.tif,BOURGES Dominique,,01559,Banque Débit Lyonnais,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOURGES Dominique"
01581_L.tif,Moraud Michele,,01581,France Telephone,"[Рукописная подпись, текст не распознан]","Сценарий: Запрос информации, Автор: MORAND Michele"
01580_L.tif,ALVES Marina,26/12/2006 (Buschwiller),01580,EDF,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: ALVES Marina"
01591_L.tif,BAUMARD Marie-Pierre,,01591,Tresorie des impots,"[Рукописная подпись, текст не распознан]","Сценарий: Трудности с денежным переводом, Автор: BAUMARD Marie-pierre"
01590_L.tif,Lilian Bosc,20/12/2006 (Chamery les deux),01590,Banque Société Géniale,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: BOSC Lilian"
01589_L.tif,SABOURIN Elise,,01589,MANIF Assurances,"[Рукописная подпись, текст не распознан]","Сценарий: Управление страховым случаем, Автор: SABOURIN Elise"
01583_L.tif,Melle Caroline GERBER,15/12/2006 (Graufthal),01583,BMP - Banque Mutuelle\nde Paris,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: GERBER Caroline"
01586_L.tif,CHAPPUIS Marie-Noelle,20/12/2006 (Charly Oradour),01586,Les 3 Suifs,"[Рукописная подпись, текст не распознан]","Сценарий: Изменение контракта / заказа, Автор: CHAPPUIS Marie-noelle"
